ТМЦ;Ед.;Код;Выписано но не выдано;Аргун 29 (торговый зал);Основной склад (ул. Гумистинская 5);"Склад ""Магазин Гагра""";"Склад ""Магазин Гудаута"" №2 СМ, ул. 4 Марта №57";"Склад ""Магазин на турбазе""";"Склад магазина ""Инструменты на рынке""";Склад на площадке в Цандрипше;Склад ответственного хранения ул. Дзидзария;Списание основной склад;ТРАНЗИТНЫЙ СКЛАД;ТЦ БЗЫБЬ;Общ. кол-во
Выключатель автоматический модульный 1п C 10А 4.5кА ВА 47-29 Basic EKF mcb4729-1-10C RS;шт;00078974; ;4; ; ; ; ; ; ; ; ; ; ;4
Выключатель автоматический модульный 1п C 6А 4.5кА ВА 47-29 Basic EKF mcb4729-1-06C RS;шт;00078980; ;4; ; ; ; ; ; ; ; ; ; ;4
Выключатель автоматический модульный 2п C 16А 4.5кА ВА 47-29 Basic EKF mcb4729-2-16C RS;шт;00078981; ;1; ; ; ; ; ; ; ; ; ; ;1
Выключатель автоматический модульный 2п C 25А 4.5кА ВА 47-29 Basic EKF mcb4729-2-25C RS;шт;00078982; ;1; ; ; ; ; ; ; ; ; ; ;1
Выключатель автоматический модульный 3п C 25А 4.5кА ВА 47-29 Basic EKF mcb4729-3-25C RS;шт;00078987; ;1; ; ; ; ; ; ; ; ; ; ;1
Выключатель автоматический модульный 3п C 32А 4.5кА ВА 47-29 Basic EKF mcb4729-3-32C RS;шт;00078988; ;12; ; ; ; ; ; ; ; ; ; ;12
Выключатель автоматический модульный 3п C 40А 4.5кА ВА 47-29 Basic EKF mcb4729-3-40C RS;шт;00078989; ;6; ; ; ; ; ; ; ; ; ; ;6
Выключатель автоматический модульный 3п C 50А 4.5кА ВА 47-29 Basic EKF mcb4729-3-50C RS;шт;00078990; ;4; ; ; ; ; ; ; ; ; ; ;4
Выключатель автоматический модульный 3п C 63А 4.5кА ВА 47-29 Basic EKF mcb4729-3-63C RS;шт;00078992; ;1; ; ; ; ; ; ; ; ; ; ;1
Серия Proxima;;00078969;; ; ; ; ; ; ; ; ; ; ; ; 
Авт. выкл. 1P 10А (C) 4,5kA ВА 47-63 EKF;шт;00078993; ;115;4; ;48; ; ; ; ; ; ;48;215
Авт. выкл. 1P 16А (C) 4,5kA ВА 47-63 EKF;шт;00078994; ; ;7; ;36; ; ; ; ; ; ; ;43
Авт. выкл. 1P 16А (D) 4,5kA ВА 47-63 EKF;шт;00078997; ;2; ; ;20; ; ; ; ; ; ; ;22
Авт. выкл. 1P 25А (C) 4,5kA ВА 47-63 EKF;шт;00078998; ;30; ; ; ; ; ; ; ; ; ;40;70
Авт. выкл. 1P 32А (C) 4,5kA ВА 47-63 EKF;шт;00079000; ;26;2; ; ; ; ; ; ; ; ; ;28
Авт. выкл. 1P 40А (C) 4,5kA ВА 47-63 EKF;шт;00079001; ;39;4; ; ; ; ; ; ; ; ;35;78
Авт. выкл. 1P 63А (C) 4,5kA ВА 47-63 EKF;шт;00079002; ;38;2; ; ; ; ; ; ; ; ;40;80
Авт. выкл. 2P 16А (C) 4,5kA ВА 47-63 EKF;шт;00079003; ;66;1; ; ; ; ; ; ; ; ;79;146
Авт. выкл. 2P 25А (C) 4,5kA ВА 47-63 EKF;шт;00079004; ;27; ; ; ; ; ; ; ; ; ;20;47
Авт. выкл. 2P 32А (C) 4,5kA ВА 47-63 EKF;шт;00079005; ;19; ; ; ; ; ; ; ; ; ; ;19
Авт. выкл. 2P 40А (C) 4,5kA ВА 47-63 EKF;шт;00079006; ;31;1; ; ; ; ; ; ; ; ;20;52
Авт. выкл. 2P 63А (C) 4,5kA ВА 47-63 EKF;шт;00079007; ;103; ; ; ; ; ; ; ; ; ;70;173
Авт. выкл. 3P 10А (C) 4,5kA ВА 47-63 EKF;шт;00079008; ;29; ; ; ; ; ; ; ; ; ; ;29
Авт. выкл. 3P 16А (C) 4,5kA ВА 47-63 EKF;шт;00079010; ;39; ; ; ; ; ; ; ; ; ; ;39
Авт. выкл. 3P 16А (D) 4,5kA ВА 47-63 EKF;шт;00079011; ;9; ; ; ; ; ; ; ; ; ; ;9
Авт. выкл. 3P 25А (C) 4,5kA ВА 47-63 EKF;шт;00079012; ;34;20; ; ; ; ; ; ; ; ; ;54
Авт. выкл. 3P 25А (D) 4,5kA ВА 47-63 EKF;шт;00079013; ;29; ; ; ; ; ; ; ; ; ; ;29
Авт. выкл. 3P 32А (C) 4,5kA ВА 47-63 EKF;шт;00079014; ;30; ; ; ; ; ; ; ; ; ; ;30
Авт. выкл. 3P 40А (C) 4,5kA ВА 47-63 EKF;шт;00079015; ;25; ; ; ; ; ; ; ; ; ; ;25
Авт. выкл. 3P 63А (C) 4,5kA ВА 47-63 EKF;шт;00079016; ; ; ; ; ; ; ; ; ; ; ;20;20
Авт. выкл. 4P 40А (C) 4,5kA ВА 47-63 EKF;шт;00079017; ;5; ; ; ; ; ; ; ; ; ; ;5
Авт. выкл. 4P 63А (C) 4,5kA ВА 47-63 EKF;шт;00079018; ;14; ; ; ; ; ; ; ; ; ; ;14
АД-32 1P+N 16А (С) 30мА тип (АС) эл. 4,5кА EKF PROxima;шт;00079020; ;1; ; ; ; ; ; ; ; ; ; ;1
АД-32 1P+N 25А (С) 30мА тип (А) эл. 4,5кА EKF PROxima;шт;00079021; ;20; ; ; ; ; ; ; ; ; ; ;20
АД-32 1P+N 40А (С) 30мА тип (А) эл. 4,5кА EKF PROxima;шт;00079022; ;11; ; ; ; ; ; ; ; ; ; ;11
Трехпоз. перекл. 2P 63А EKF PROxima;шт;00079029; ;25;1; ; ; ; ; ; ; ; ;5;31
УЗО ВД-100 2P 25А 30мА тип (А) эл-мех EKF PROxima;шт;00079031; ;31;12; ; ; ; ; ; ; ; ; ;43
УЗО ВД-100 2P 40А 30мА тип (А) эл-мех EKF PROxima;шт;00079032; ;11;10; ; ; ; ; ; ; ; ; ;21
УЗО ВД-100 2P 63А 100мА тип (А) эл-мех EKF PROxima;шт;00079033; ;4; ; ; ; ; ; ; ; ; ; ;4
УЗО ВД-100 2P 63А 30мА тип (А) эл-мех EKF PROxima;шт;00079034; ;5; ; ; ; ; ; ; ; ; ; ;5
IEK;;00078959;; ; ; ; ; ; ; ; ; ; ; ; 
Серия KARAT;;00079035;; ; ; ; ; ; ; ; ; ; ; ; 
KARAT Авт. выкл. ВА47-100 3P C 100А 10кА IEK;шт;00079037; ;1; ; ; ; ; ; ; ; ; ; ;1
KARAT Авт. выкл. ВА47-29 1P C 10А 4,5кА IEK;шт;00079048; ;1; ; ; ; ; ; ; ; ; ; ;1
KARAT Авт. выкл. ВА47-29 2P C 40А 4,5кА IEK;шт;00079042; ;1; ; ; ; ; ; ; ; ; ; ;1
KARAT Авт. выкл. ВА47-29 3P C 16А 4,5кА IEK;шт;00079084; ;7; ; ; ; ; ; ; ; ; ; ;7
KARAT Авт. выкл. ВА47-29 3P C 25А 4,5кА IEK;шт;00079086; ;9; ; ; ; ; ; ; ; ; ; ;9
KARAT Авт. выкл. ВА47-29 3P C 40А 4,5кА IEK;шт;00079088; ;1; ; ; ; ; ; ; ; ; ; ;1
KARAT Авт. выкл. ВА47-29 3P C 63А 4,5кА IEK;шт;00079091; ;84; ; ; ; ; ; ; ; ; ; ;84
Выкл. авт. диф. тока АВДТ32МL С25 30мА KARAT IEK;шт;00079046; ;3; ; ; ; ; ; ; ; ; ; ;3
Выключатель автоматический дифференциальный АВДТ 32 1п+N 40А C 30мА тип A IEK ЭЛК;шт;00079047; ;5; ; ; ; ; ; ; ; ; ; ;5
Выключатель автоматический модульный 2п C 25А 4.5кА ВА47-29 KARAT IEK MVA20-2-025-C;шт;00079080; ;1; ; ; ; ; ; ; ; ; ; ;1
Выключатель автоматический модульный 2п C 40А 4.5кА ВА47-29 KARAT IEK MVA20-2-040-C;шт;00079083; ;2; ; ; ; ; ; ; ; ; ; ;2
Выключатель автоматический модульный 3п C 20А 4.5кА ВА47-29 KARAT IEK MVA20-3-020-C;шт;00079085; ;9; ; ; ; ; ; ; ; ; ; ;9
УЗО ВД1-63 2Р 25А 30мА IEK;шт;00079092; ;4; ; ; ; ; ; ; ; ; ; ;4
УЗО ВД1-63 2Р 40А 30мА IEK;шт;00079093; ;9; ; ; ; ; ; ; ; ; ; ;9
System Electric (Schnieder Electric);;00078960;; ; ; ; ; ; ; ; ; ; ; ; 
Серия City9;;00079095;; ; ; ; ; ; ; ; ; ; ; ; 
Выключатель автоматический дифференциального тока 2п (1P+N) C 16А 30мА тип AC 4.5кА City9 Set 230В S;шт;00079102; ;44; ; ; ; ; ; ; ; ; ;30;74
Выключатель автоматический дифференциального тока 2п (1P+N) C 25А 30мА тип AC 4.5кА City9 Set 230В S;шт;00079103; ;55; ; ; ; ; ; ; ; ; ;30;85
Выключатель автоматический дифференциального тока 2п (1P+N) C 32А 30мА тип AC 4.5кА City9 Set 230В S;шт;00079104; ;15; ; ; ; ; ; ; ; ; ; ;15
Выключатель автоматический дифференциального тока 2п (1P+N) C 40А 30мА тип AC 4.5кА City9 Set 230В S;шт;00079105; ;23; ; ; ; ; ; ; ; ; ; ;23
Выключатель автоматический модульный 1п C 10А 4.5кА City9 Set 230В SE C9F34110;шт;00079106; ;55; ; ; ; ; ;81; ; ; ;60;196
Выключатель автоматический модульный 1п C 16А 4.5кА City9 Set 230В SE C9F34116;шт;00079107; ;14;15; ; ; ; ; ; ; ; ;30;59
Выключатель автоматический модульный 1п C 25А 4.5кА City9 Set 230В SE C9F34125;шт;00079108; ;7; ; ; ; ; ;49; ; ; ; ;56
Выключатель автоматический модульный 1п C 32А 4.5кА City9 Set 230В SE C9F34132;шт;00079109; ;13; ; ; ; ; ;84; ; ; ; ;97
Выключатель автоматический модульный 1п C 40А 4.5кА City9 Set 230В SE C9F34140;шт;00079110; ;14; ; ;1; ; ;67; ; ; ; ;82
Выключатель автоматический модульный 1п C 50А 4.5кА City9 Set 230В SE C9F34150;шт;00080981; ;12; ; ; ; ; ; ; ; ; ; ;12
Выключатель автоматический модульный 1п C 63А 4.5кА City9 Set 230В SE C9F34163;шт;00079111; ;7;3; ;2; ; ; ; ; ; ; ;12
Выключатель автоматический модульный 2п C 16А 4.5кА City9 Set 230В SE C9F34216;шт;00079112; ;47; ; ; ; ; ;100; ; ; ;30;177
Выключатель автоматический модульный 2п C 25А 4.5кА City9 Set 230В SE C9F34225;шт;00079113; ;31; ; ; ; ; ;97; ; ; ; ;128
Выключатель автоматический модульный 2п C 32А 4.5кА City9 Set 230В SE C9F34232;шт;00079114; ;2; ; ; ; ; ;13; ; ; ; ;15
Выключатель автоматический модульный 2п C 40А 4.5кА City9 Set 230В SE C9F34240;шт;00079115; ;27; ; ; ; ; ; ; ; ; ;25;52
Выключатель автоматический модульный 2п C 50А 4.5кА City9 Set 230В SE C9F34250;шт;00079116; ;2; ; ; ; ; ;8; ; ; ; ;10
Выключатель автоматический модульный 2п C 63А 4.5кА City9 Set 230В SE C9F34263;шт;00079117; ;1; ; ; ; ; ;2; ; ; ; ;3
Выключатель автоматический модульный 3п C 10А 4.5кА City9 Set 400В SE C9F34310;шт;00079118; ;30; ; ; ; ; ;20; ; ; ; ;50
Выключатель автоматический модульный 3п C 16А 4.5кА City9 Set 400В SE C9F34316;шт;00079121; ;51; ; ; ; ; ; ; ; ; ;35;86
Выключатель автоматический модульный 3п C 25А 4.5кА City9 Set 400В SE C9F34325;шт;00079122; ;25; ; ; ; ; ;40; ; ; ;15;80
Выключатель автоматический модульный 3п C 40А 4.5кА City9 Set 400В SE C9F34340;шт;00079123; ;35; ; ; ; ; ; ; ; ; ; ;35
Выключатель автоматический модульный 3п C 50А 4.5кА City9 Set 400В SE C9F34350;шт;00079125; ;17; ; ; ; ; ;17; ; ; ; ;34
Выключатель автоматический модульный 3п C 63А 4.5кА City9 Set 400В SE C9F34363;шт;00079126; ;2; ; ; ; ; ;18; ; ; ; ;20
Выключатель дифференциального тока (УЗО) 2п 25А 30мА тип AC City9 Set 230В SE C9R36225;шт;00079127; ;25; ; ; ; ; ;18; ; ; ; ;43
Выключатель дифференциального тока (УЗО) 2п 40А 30мА тип AC City9 Set 230В SE C9R36240;шт;00079128; ;38; ; ; ; ; ;18; ; ; ;30;86
Выключатель дифференциального тока (УЗО) 2п 63А 100мА тип AC City9 Set 230В SE C9R56263;шт;00079129; ;2; ; ; ; ; ; ; ; ; ; ;2
Серия Easy9;;00079096;; ; ; ; ; ; ; ; ; ; ; ; 
Выключатель автоматический  однополюсный EASY 9 10А C 4,5кА Schneider Electric ЭЛК;шт;00079132; ;2; ; ; ; ; ; ; ; ; ; ;2
Выключатель автоматический  однополюсный EASY 9 32А C 4,5кА Schneider Electric ЭЛК;шт;00079133; ;1; ; ; ; ; ; ; ; ; ; ;1
Выключатель автоматический двухполюсный EASY 9 40А C 4,5кА Schneider Electric ЭЛК;шт;00079136; ;4; ; ; ; ; ; ; ; ; ; ;4
Выключатель автоматический дифференциальный EASY 9 1п+N 25А C 30мА тип AC Schneider Electric ЭЛК;шт;00079139; ;4; ; ; ; ; ; ; ; ; ; ;4
Выключатель автоматический дифференциальный EASY 9 1п+N 32А C 30мА тип AC Schneider Electric ЭЛК;шт;00079140; ;6; ; ; ; ; ; ; ; ; ; ;6
Выключатель автоматический трехполюсный EASY 9 40А C 4,5кА Schneider Electric ЭЛК;шт;00079141; ;4; ; ; ; ; ; ; ; ; ; ;4
Выключатель дифференциальный (УЗО) EASY 9 2п 40А 30мА тип AC Schneider Electric ЭЛК;шт;00079143; ;6; ; ; ; ; ; ; ; ; ; ;6
Выключатель дифференциальный (УЗО) EASY 9 2п 63А 30мА тип AC Schneider Electric ЭЛК;шт;00079144; ;1; ; ; ; ; ; ; ; ; ; ;1
ДИФ. АВТ. ВЫКЛ. EASY 9 1П+Н 40А 30мА C AC 4,5кА 230В =S= Schneider Electric ЭЛК;шт;00079145; ;9; ; ; ; ; ; ; ; ; ; ;9
ЭРА, Simple;;00078961;; ; ; ; ; ; ; ; ; ; ; ; 
Выключатель автоматический модульный 1п C 10А ВА47-29 Pro NO-900-10 ЭРА Б0031745;шт;00079146; ;10; ; ; ; ; ; ; ; ; ; ;10
Выключатель автоматический модульный 1п C 16А ВА47-29 Pro NO-900-12 ЭРА Б0031747 RS;шт;00079147; ;1; ; ; ; ; ; ; ; ; ; ;1
Выключатель автоматический модульный 1п C 32А ВА47-29 Pro NO-900-15 ЭРА Б0031750 RS;шт;00079149; ;1; ; ; ; ; ; ; ; ; ; ;1
Выключатель автоматический модульный 1п C 40А ВА47-29 Pro NO-900-16 ЭРА Б0031751 RS;шт;00079150; ;1; ; ; ; ; ; ; ; ; ; ;1
Выключатель автоматический модульный 1п C 6А ВА47-29 Pro NO-900-08 ЭРА Б0031743 RS;шт;00079151; ;5; ; ; ; ; ; ; ; ; ; ;5
Выключатель автоматический модульный 2п C 16А 4.5кА ВА 47-29 SIMPLE-mod-12 ЭРА Б0039229 RS;шт;00079152; ;1; ; ; ; ; ; ; ; ; ; ;1
Выключатель автоматический модульный 2п C 20А ВА47-29 Pro NO-900-29 ЭРА Б0031761 RS;шт;00079153; ;3; ; ; ; ; ; ; ; ; ; ;3
Выключатель автоматический модульный 2п C 25  ЭРА Simple;шт;00079154; ;3; ; ; ; ; ; ; ; ; ; ;3
Выключатель автоматический модульный 2п C 25А ВА47-29 Pro NO-900-30 ЭРА Б0031762 RS;шт;00079155; ;2; ; ; ; ; ; ; ; ; ; ;2
Выключатель автоматический модульный 2п C 32А ВА47-29 Pro NO-900-31 ЭРА Б0031763 RS;шт;00079156; ;1; ; ; ; ; ; ; ; ; ; ;1
Выключатель автоматический модульный 3п C 32А 4.5кА ВА 47-29 SIMPLE-mod-24 ЭРА Б0039241 RS;шт;00079157; ;9; ; ; ; ; ; ; ; ; ; ;9
Выключатель автоматический модульный 3п C 32А ВА47-29 Pro NO-900-47 ЭРА Б0031779 RS;шт;00079158; ;7; ; ; ; ; ; ; ; ; ; ;7
Выключатель автоматический модульный 3п C 40А ВА47-29 Pro NO-900-48 ЭРА Б0031780 RS;шт;00079159; ;6; ; ; ; ; ; ; ; ; ; ;6
Выключатель автоматический модульный 3п C 50А ВА47-29 Pro NO-900-49 ЭРА Б0031781 RS;шт;00079160; ;6; ; ; ; ; ; ; ; ; ; ;6
Батарейки, звонки, фонари;;00079162;; ; ; ; ; ; ; ; ; ; ; ; 
Батарейки;;00079163;; ; ; ; ; ; ; ; ; ; ; ; 
Алкалиновая батарейка типа АА(LR6) шринк 4шт. EKF;упак;00079339; ;30;21; ;28; ; ; ; ; ; ; ;79
Алкалиновая батарейка типа ААА(LR03) шринк 4шт. EKF;упак;00079340; ;130; ; ; ; ; ; ; ; ; ; ;130
Батарейка «Camelion» Plus Alkaline  LR03 BL- 2 (LR03-BP2)   (2xААА-блистер. 288 комп.)/1651/000050;комплект;00079341; ;8; ; ;18; ; ; ; ; ; ; ;26
Батарейка «Camelion» Plus Alkaline  LR03 BL- 4 (LR03-BP4)   (4xААА-блистер. 288 комп.)/7369/000043;комплект;00079342; ;3; ; ; ; ; ; ; ; ; ; ;3
Батарейка «Camelion» Plus Alkaline  LR03 BL- 8 (LR03-BP5+3) (5+3xААА-блистер.144 комп.)/14134/007435;комплект;00079343; ;16; ; ;8; ; ; ; ; ; ;18;42
Батарейка «Camelion» Plus Alkaline  LR03 BL-12 (LR03-HP12)   (12xААА-блистер.96 комп.)/14260/008470;комплект;00079344; ;5; ; ; ; ; ; ; ; ; ; ;5
Батарейка «Camelion» Plus Alkaline  LR6 BL- 4 (LR6-BP4)   (4xАА-блистер. 144 комп.) /7370/000029;комплект;00079346; ;8; ; ; ; ; ; ; ; ; ; ;8
Батарейка «Camelion» Plus Alkaline  LR6 BL- 8 (LR6-BP5+3)  (5+3xАА-блистер. 72 комп.) /14133/006988;комплект;00079347; ; ; ; ;19; ; ; ; ; ; ; ;19
Батарейка «Camelion» Plus Alkaline  LR6 BL-12 (LR6-HP12)   (12xАА-блистер. 48 комп.) /5818/001927;комплект;00079348; ;3; ; ; ; ; ; ; ; ; ; ;3
Элемент питания 6LR61 крона 9V алкалиновый бл. 1шт GENERICA IEK (1/10/120);шт;00079349; ;18; ; ; ; ; ; ; ; ; ; ;18
Элемент питания CR2016 литиевый бл. 1шт Optima IEK (1/20/400);шт;00079350; ;5; ; ;10; ; ; ; ; ; ; ;15
Элемент питания CR2025 литиевый бл. 1шт Optima IEK (1/20/400);шт;00079351; ; ; ; ;18; ; ; ; ; ; ; ;18
Элемент питания CR2032 литиевый бл. 1шт ЭРА (1/40);шт;00079352; ; ; ; ;5; ; ; ; ; ; ; ;5
