Код;Наименование;Артикул;Базовая единица измерения;Комментарий;Основная единица измерения;Основное свойство;Полное наименование;ВыгружатьВИнтернетМагазин;НаименованиеИМ;Длинна;Ширина;Высота;Объем;Блокировать скидку по карте;Статус товара;Штрихкоды номенклатуры
00078956;   Автоматические выключатели, УЗО, дифференциальные автоматы;;;;;;;;;;;;;;;
00078957;      ABB;;;;;;;;;;;;;;;
00078962;         Выключатель автоматический однополюсный SH201 16А C 6кА (SH201 C 16) | SH201C16 | ABB ЭЛК; ;шт;Модульные однополюсные выключатели ABB S201 C предназначены для защиты электрических цепей от перегрузок и коротких замыканий в линиях кабелей, электродвигателях, систем освещения, а также розеточных линий. Они имеют два различных механизма отключения- ме;шт; ;Выключатель автоматический однополюсный SH201 16А C 6кА (SH201 C 16) | SH201C16 | ABB ЭЛК;1;Выключатель автоматический однополюсный SH201 16А C 6кА (SH201 C 16) | SH201C16 | ABB ЭЛК;0;0;0;0;1;Новинка;"3606480586842                 
4016779630641"
00078963;         Выключатель автоматический однополюсный SH201 25А C 6кА (SH201 C 25) | SH201C25 | ABB ЭЛК; ;шт;Модульные однополюсные выключатели ABB S201 C предназначены для защиты электрических цепей от перегрузок и коротких замыканий в линиях кабелей, электродвигателях, систем освещения, а также розеточных линий. Они имеют два различных механизма отключения- ме;шт; ;Выключатель автоматический однополюсный SH201 25А C 6кА (SH201 C 25) | SH201C25 | ABB ЭЛК;1;Выключатель автоматический однополюсный SH201 25А C 6кА (SH201 C 25) | SH201C25 | ABB ЭЛК;0;0;0,0001;0;1;Новинка;"3606480586866                 
4016779630689"
00078964;         Выключатель автоматический однополюсный SH201L 20А C 4,5кА (SH201L C20) | | ABB ЭЛК; ;шт;Модульные однополюсные выключатели ABB S201 C предназначены для защиты электрических цепей от перегрузок и коротких замыканий в линиях кабелей, электродвигателях, систем освещения, а также розеточных линий. Они имеют два различных механизма отключения- ме;шт; ;Выключатель автоматический однополюсный SH201L 20А C 4,5кА (SH201L C20) | | ABB ЭЛК;1;Выключатель автоматический однополюсный SH201L 20А C 4,5кА (SH201L C20) | | ABB ЭЛК;0;0;0;0,0001;1;Новинка;"3606480586859                 
4016779633024                 
4680409061985"
00078965;         Выключатель автоматический однополюсный SH201L 32А C 4,5кА (SH201L C32) ABB ЭЛК; ;шт;Модульные однополюсные выключатели ABB S201 C предназначены для защиты электрических цепей от перегрузок и коротких замыканий в линиях кабелей, электродвигателях, систем освещения, а также розеточных линий. Они имеют два различных механизма отключения- ме;шт; ;Выключатель автоматический однополюсный SH201L 32А C 4,5кА (SH201L C32) ABB ЭЛК;1;Выключатель автоматический однополюсный SH201L 32А C 4,5кА (SH201L C32) ABB ЭЛК;0;0;0;0,0001;1;Новинка;4,02E+12
00078958;      EKF;;;;;;;;;;;;;;;
00078968;         Серия Basic;;;;;;;;;;;;;;;
00078974;            Выключатель автоматический модульный 1п C 10А 4.5кА ВА 47-29 Basic EKF mcb4729-1-10C RS; ;шт; ;шт; ;Выключатель автоматический модульный 1п C 10А 4.5кА ВА 47-29 Basic EKF mcb4729-1-10C RS;1;Выключатель автоматический модульный 1п C 10А 4.5кА ВА 47-29 Basic EKF mcb4729-1-10C RS;0;0;0;0,0001;1;Новинка;4,69E+12
00078975;            Выключатель автоматический модульный 1п C 16А 4.5кА ВА 47-29 Basic EKF mcb4729-1-16C RS;248306;шт; ;шт; ;Выключатель автоматический модульный 1п C 16А 4.5кА ВА 47-29 Basic EKF mcb4729-1-16C RS;1;Выключатель автоматический модульный 1п C 16А 4.5кА ВА 47-29 Basic EKF mcb4729-1-16C RS;0;0;0;0,0001;1;Новинка;4,69E+12
